Date,NAV_Discount,Implied_Required_Rate,Risk_Free_Rate,Lambda,Relative_Lambda
2015-05-01,0.08547633709519553,0.08751918098392278,0.019455,0.06806418098392278,1.0
2015-06-01,0.08673159458009805,0.08741808968635631,0.019619,0.06779908968635631,0.9961052745550691
2015-07-01,0.09006943147716717,0.08715041194326886,0.022209,0.06494141194326886,0.9541202289440383
2015-08-01,0.06542180219281624,0.08916656276835531,0.020074,0.06909256276835532,1.0151090010864223
2015-09-01,0.05424430502708788,0.09011194041741498,0.019513,0.07059894041741498,1.0372407248107625
2015-10-01,0.0623260442961282,0.08942640586670801,0.0177109999999999,0.0717154058667081,1.0536438524640115
2015-11-01,0.06276807400134365,0.0893892113660538,0.019457,0.06993221136605379,1.0274451312735586
2015-12-01,0.06344000455395582,0.08933273113027786,0.018102,0.07123073113027786,1.0465230037382371
2016-01-01,0.03798350966066866,0.09152361199943998,0.020097,0.07142661199943998,1.0494008884983341
2016-02-01,0.043300053746679,0.09105721758456528,0.016975,0.07408221758456528,1.0884170868384355
2016-03-01,0.06231768487906497,0.08942710956639574,0.0146849999999999,0.07474210956639585,1.0981122300443231
2016-04-01,0.060586582183716264,0.0895730736140352,0.015226,0.0743470736140352,1.0923083557208524
2016-05-01,0.050372539038384234,0.09044410099198945,0.016947,0.07349710099198944,1.0798205448082885
2016-06-01,0.1119249181203541,0.08543742338339903,0.0148239999999999,0.07061342338339913,1.0374535087710597
2016-07-01,0.12037495363818396,0.08479304155408626,0.009859,0.07493404155408626,1.1009320977767467
2016-08-01,0.10727782625663362,0.08579599243052291,0.008452,0.07734399243052291,1.1363391333364032
2016-09-01,0.10765643218033416,0.08576666666666667,0.007001,0.07876566666666668,1.1572263932077822
2016-10-01,0.11111111111111116,0.08549999999999999,0.007968,0.07753199999999999,1.1391013434557242
2016-11-01,0.04166666666666674,0.09119999999999999,0.013338,0.07786199999999999,1.143949708560976
2016-12-01,0.12458391756248477,0.0844756878667719,0.015399,0.0690766878667719,1.0148757667867667
2017-01-01,0.11252296651442073,0.08539149559998642,0.012955,0.07243649559998643,1.0642381139809265
2017-02-01,0.08684888096652799,0.08740865603644647,0.015331,0.07207765603644647,1.0589660375619845
2017-03-01,0.0938428034052663,0.08684977375565611,0.011845,0.07500477375565612,1.1019712963764707
2017-04-01,0.0945084229561246,0.08679695652173912,0.011343,0.07545395652173911,1.1085706965248263
2017-05-01,0.12219451371571077,0.08465555555555555,0.011067,0.07358855555555555,1.081164196671046
2017-06-01,0.10319580488770175,0.08611345291479819,0.011007,0.07510645291479819,1.1034651681556096
2017-07-01,0.096621221102549,0.08662972972972972,0.012971,0.07365872972972973,1.0821951967236396
2017-08-01,0.1083159580575952,0.08571562947311022,0.012414,0.07330162947311022,1.0769486742288807
2017-09-01,0.0912232204561163,0.08705826472450917,0.011043,0.07601526472450917,1.1168174453236204
2017-10-01,0.0807343071456772,0.08790319634703195,0.014009,0.07389419634703195,1.085654675907821
